rrul,TCP download BE,TCP upload sum,TCP upload BK,Ping (ms) UDP BE,Ping (ms) UDP BK,TCP upload BE,Ping (ms) avg,Ping (ms) ICMP,TCP download BK,TCP totals,TCP upload avg,TCP download EF,TCP download CS5,Ping (ms) UDP EF,TCP upload EF,TCP upload CS5,TCP download sum,TCP download avg
26.8,23.4155398789,,,,,,291.781375767,291.781375767,9.01290470717,69.0773984027,,9.50069225746,27.1482615592,,,,69.0773984027,17.2693496007
27.0,28.9999580858,,,,,,301.490017797,301.490017797,8.96163698511,82.4203409007,,9.43451359103,35.0242322387,,,,82.4203409007,20.6050852252
27.2,27.8267239023,,,,,,305.882448253,305.882448253,8.74551896575,66.5158489908,,9.18831192024,20.7552942025,,,,66.5158489908,16.6289622477
27.4,15.9941521897,,,,,,310.238246193,310.238246193,8.79680106249,54.727498764,,9.14344011988,20.793105392,,,,54.727498764,13.681874691
27.6,16.6269851151,,,,,,314.046649274,314.046649274,8.80283322733,72.7799807817,,9.07508283738,38.275079602,,,,72.7799807817,18.1949951954
27.8,19.1540778888,,,,,,317.96693145,317.96693145,8.77148525803,62.7930623386,,8.98103892949,25.8864602623,,,,62.7930623386,15.6982655846
28.0,21.4740781015,,,,,,322.818991968,322.818991968,8.90222486547,58.2946651243,,9.02011721623,18.8982449411,,,,58.2946651243,14.5736662811
28.2,22.1928573946,,,,,,317.068719361,317.068719361,8.93081658744,79.9480658714,,9.02141960551,39.8029722838,,,,79.9480658714,19.9870164678
28.4,22.5289562802,,,,,,311.677527581,311.677527581,8.76982581417,72.8154600197,,8.89178999305,32.6248879323,,,,72.8154600197,18.2038650049
28.6,23.2386331537,,,,,,306.295022839,306.295022839,9.11251951806,59.5976718251,,9.11925274675,18.1272664066,,,,59.5976718251,14.8994179563
28.8,24.0566769364,,,,,,300.893130006,300.893130006,9.52841964188,87.0364709381,,9.44778719386,44.0035871659,,,,87.0364709381,21.7591177345
29.0,22.4223105117,,,,,,294.31820736,294.31820736,9.64802095231,72.9059356562,,9.43458587981,31.4010183124,,,,72.9059356562,18.2264839141
29.2,4.9997662322,,,,,,288.347784998,288.347784998,9.52923574164,42.7152106513,,9.38775921867,18.7984494588,,,,42.7152106513,10.6788026628
29.4,41.546451816,,,,,,297.25516055,297.25516055,9.47716727024,70.0242730022,,9.38190229237,9.61875162362,,,,70.0242730022,17.5060682506
29.6,34.7490021848,,,,,,306.162525484,306.162525484,10.1368155653,63.1320303203,,9.86417122508,8.3820413452,,,,63.1320303203,15.7830075801
29.8,14.8684367664,,,,,,258.060648654,258.060648654,12.421018329,120.968379673,,11.7743836079,81.9045409693,,,,120.968379673,30.2420949181
30.0,5.75132334189,,,,,,214.657136081,214.657136081,18.4382221131,78.7205320251,,13.5705262812,40.9604602889,,,,78.7205320251,19.6801330063
30.2,57.2909341621,,,,,,196.570875065,196.570875065,19.1843046631,96.5357477805,,17.5189688631,2.54154009224,,,,96.5357477805,24.1339369451
30.4,21.2435326976,,,,,,178.484614048,178.484614048,19.5554194914,64.0041650667,,20.4805401947,2.72467268286,,,,64.0041650667,16.0010412667
30.6,21.0081887094,,,,,,171.054340886,171.054340886,21.8941315455,64.373284955,,16.7978999296,4.67306477039,,,,64.373284955,16.0933212388
